actor_id,actor_gender,actor_age_group,actor_avg_films_score,actor_avg_comments_sum,actor_award_sum,actor_film_sum,actor_multi_career,actor_birthplace_faction,actor_horoscope_code,actor_film_avg_five_star,actor_film_avg_four_star,actor_film_avg_three_star,actor_film_avg_two_star,actor_film_avg_one_star,actor_international,actor_film_type_sum,type_feature,type_romance,type_action,type_science,type_adventure,type_suspense,type_comedy,type_thriller,type_biography,type_cartoon,type_family,type_fantasy,type_sowordsmen,type_disaster,type_dance,type_history,type_music,type_short,type_children,type_opera,type_crime,type_war,type_western,type_sport,type_reality,type_documentary,type_talkshow,type_costume,type_horror,type_blue,type_samesex,type_no
1314124,女,after_90s,6.03036,38151,2,56,1,north,type_8,0.21919642857142857,0.1839107142857143,0.23464285714285701,0.11637499999999999,0.24585714285714289,0,21,0.5,0.26785714285714285,0.017857142857142856,0.0,0.0,0.017857142857142856,0.125,0.03571428571428571,0.0,0.0,0.08928571428571429,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.0,0.017857142857142856,0.05357142857142857,0.0,0.0,0.19642857142857142,0.0,0.0,0.125,0.017857142857142856,0.0,0.0,0.07142857142857142
1274224,女,after_90s,6.19615,107696,16,52,1,north,type_11,0.14942307692307696,0.22155769230769234,0.33459615384615377,0.16784615384615387,0.1267115384615384,1,21,0.4423076923076923,0.36538461538461536,0.07692307692307693,0.0,0.019230769230769232,0.057692307692307696,0.21153846153846154,0.019230769230769232,0.0,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.019230769230769232,0.0,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.07692307692307693,0.0,0.0,0.038461538461538464,0.019230769230769232,0.0,0.0,0.21153846153846154,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232
1276032,女,after_90s,6.35455,47917,1,55,1,north,type_6,0.2002,0.24249090909090906,0.2685454545454546,0.11272727272727273,0.17598181818181813,1,22,0.4909090909090909,0.45454545454545453,0.03636363636363636,0.0,0.03636363636363636,0.01818181818181818,0.18181818181818182,0.0,0.01818181818181818,0.01818181818181818,0.10909090909090909,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.0,0.0,0.0,0.2545454545454545,0.01818181818181818,0.0,0.10909090909090909,0.01818181818181818,0.0,0.0,0.0
1325127,女,after_90s,5.67222,45207,3,36,1,north,type_3,0.18349999999999997,0.15191666666666667,0.24516666666666662,0.15827777777777774,0.2612222222222222,0,8,0.3333333333333333,0.4166666666666667,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.027777777777777776
1052359,女,after_80s,5.89011,46749,15,91,1,north,type_6,0.15641758241758244,0.1872637362637362,0.2949450549450549,0.1678791208791209,0.19340659340659333,1,27,0.5054945054945055,0.4065934065934066,0.054945054945054944,0.01098901098901099,0.01098901098901099,0.07692307692307693,0.16483516483516483,0.03296703296703297,0.01098901098901099,0.01098901098901099,0.054945054945054944,0.10989010989010989,0.054945054945054944,0.0,0.01098901098901099,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.0,0.01098901098901099,0.02197802197802198,0.02197802197802198,0.0,0.01098901098901099,0.12087912087912088,0.01098901098901099,0.03296703296703297,0.1978021978021978,0.01098901098901099,0.0,0.0,0.03296703296703297
1274533,女,after_80s,6.5,38247,2,35,0,north,type_12,0.2192285714285714,0.21388571428571432,0.29760000000000003,0.14057142857142857,0.12874285714285716,0,17,0.6,0.4857142857142857,0.2,0.0,0.0,0.08571428571428572,0.11428571428571428,0.0,0.02857142857142857,0.0,0.02857142857142857,0.05714285714285714,0.2,0.0,0.0,0.02857142857142857,0.0,0.05714285714285714,0.0,0.0,0.05714285714285714,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.0,0.4,0.02857142857142857,0.0,0.0,0.02857142857142857
1050059,女,after_80s,6.10978,57755,19,92,1,north,type_6,0.10518478260869568,0.2319130434782608,0.3887826086956523,0.1601304347826087,0.11404347826086955,1,24,0.4782608695652174,0.2826086956521739,0.21739130434782608,0.03260869565217391,0.021739130434782608,0.03260869565217391,0.21739130434782608,0.021739130434782608,0.043478260869565216,0.010869565217391304,0.03260869565217391,0.09782608695652174,0.08695652173913043,0.0,0.010869565217391304,0.09782608695652174,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.043478260869565216,0.0,0.0,0.11956521739130435,0.0,0.021739130434782608,0.25,0.010869565217391304,0.010869565217391304,0.0,0.03260869565217391
1272245,女,after_70s,6.97609,63002,5,46,0,south,type_10,0.19917391304347834,0.33293478260869563,0.29954347826086947,0.09232608695652172,0.07613043478260868,0,17,0.6739130434782609,0.32608695652173914,0.06521739130434782,0.0,0.0,0.08695652173913043,0.10869565217391304,0.0,0.0,0.0,0.2608695652173913,0.0,0.021739130434782608,0.0,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.0,0.0,0.021739130434782608,0.043478260869565216,0.0,0.0,0.10869565217391304,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.021739130434782608
1163713,女,after_70s,6.68909,73245,38,55,1,north,type_12,0.14543636363636359,0.2814181818181818,0.3992,0.12063636363636364,0.05330909090909092,1,22,0.5272727272727272,0.4,0.23636363636363636,0.0,0.05454545454545454,0.0,0.23636363636363636,0.05454545454545454,0.0,0.01818181818181818,0.09090909090909091,0.05454545454545454,0.03636363636363636,0.0,0.05454545454545454,0.03636363636363636,0.05454545454545454,0.05454545454545454,0.0,0.0,0.07272727272727272,0.07272727272727272,0.0,0.03636363636363636,0.09090909090909091,0.01818181818181818,0.07272727272727272,0.14545454545454545,0.0,0.0,0.01818181818181818,0.0
1041014,女,after_70s,6.40417,89467,42,48,1,north,type_11,0.130875,0.26110416666666664,0.3727708333333334,0.1460416666666667,0.08925000000000001,1,25,0.4583333333333333,0.375,0.1875,0.041666666666666664,0.0625,0.0625,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.10416666666666667,0.041666666666666664,0.0625,0.0625,0.041666666666666664,0.041666666666666664,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.1875,0.0625,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.0,0.0,0.0
1276150,男,after_90s,6.12059,49532,0,34,0,south,type_10,0.18714705882352942,0.20711764705882355,0.27482352941176474,0.14323529411764707,0.1876176470588235,0,15,0.35294117647058826,0.17647058823529413,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.0,0.0,0.0,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.029411764705882353,0.0,0.0,0.0,0.29411764705882354,0.029411764705882353,0.0,0.2647058823529412,0.0,0.0,0.0,0.0
1274223,男,after_90s,5.71273,24261,0,55,1,north,type_2,0.15443636363636365,0.18849090909090915,0.2607090909090908,0.15281818181818177,0.24352727272727265,0,23,0.4727272727272727,0.14545454545454545,0.14545454545454545,0.01818181818181818,0.05454545454545454,0.05454545454545454,0.36363636363636365,0.01818181818181818,0.05454545454545454,0.01818181818181818,0.14545454545454545,0.03636363636363636,0.01818181818181818,0.0,0.03636363636363636,0.05454545454545454,0.01818181818181818,0.07272727272727272,0.14545454545454545,0.0,0.07272727272727272,0.09090909090909091,0.0,0.03636363636363636,0.10909090909090909,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0
1336305,男,after_90s,6.7,140833,5,29,1,north,type_7,0.2390689655172414,0.24796551724137927,0.27020689655172425,0.11437931034482761,0.12824137931034485,1,16,0.2413793103448276,0.1724137931034483,0.10344827586206896,0.0,0.034482758620689655,0.1724137931034483,0.13793103448275862,0.034482758620689655,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.27586206896551724,0.0,0.034482758620689655,0.10344827586206896,0.0,0.0,0.0,0.034482758620689655
1340022,男,after_90s,7.70444,64556,3,45,1,south,type_9,0.41575555555555543,0.2579111111111111,0.1796888888888889,0.05642222222222222,0.09028888888888886,0,22,0.24444444444444444,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.0,0.044444444444444446,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.0,0.15555555555555556,0.022222222222222223,0.044444444444444446,0.1111111111111111,0.044444444444444446,0.0,0.044444444444444446,0.0,0.0,0.08888888888888889,0.4222222222222222,0.08888888888888889,0.08888888888888889,0.06666666666666667,0.0,0.0,0.0,0.022222222222222223
1276105,男,after_80s,6.56744,64146,6,43,0,north,type_12,0.19404651162790698,0.25402325581395346,0.30974418604651177,0.12983720930232562,0.11239534883720934,1,20,0.5348837209302325,0.2558139534883721,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.09302325581395349,0.0,0.046511627906976744,0.0,0.046511627906976744,0.09302325581395349,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372,0.06976744186046512,0.0,0.0,0.023255813953488372,0.046511627906976744,0.0,0.0,0.13953488372093023,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.023255813953488372,0.0,0.0,0.0
1274388,男,after_80s,5.5359,137271,10,39,1,north,type_2,0.0860769230769231,0.20769230769230773,0.30266666666666664,0.19315384615384612,0.2102564102564103,1,15,0.3333333333333333,0.15384615384615385,0.28205128205128205,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.5641025641025641,0.10256410256410256,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564
1013782,男,after_80s,6.52157,99492,15,51,0,south,type_1,0.13131372549019607,0.26388235294117646,0.3995294117647059,0.146,0.05933333333333333,1,19,0.5294117647058824,0.43137254901960786,0.23529411764705882,0.0196078431372549,0.0392156862745098,0.0,0.19607843137254902,0.0196078431372549,0.0,0.0,0.0,0.09803921568627451,0.09803921568627451,0.0,0.0,0.0196078431372549,0.0,0.0392156862745098,0.0,0.0,0.0784313725490196,0.0196078431372549,0.0,0.0784313725490196,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0,0.0,0.0,0.0784313725490196
1000572,男,after_70s,6.65802,35412,14,81,1,north,type_1,0.1745679012345679,0.26788888888888895,0.34970370370370374,0.12658024691358022,0.08135802469135806,1,22,0.5802469135802469,0.2839506172839506,0.12345679012345678,0.0,0.0,0.037037037037037035,0.04938271604938271,0.0,0.012345679012345678,0.024691358024691357,0.07407407407407407,0.012345679012345678,0.0,0.0,0.024691358024691357,0.07407407407407407,0.012345679012345678,0.06172839506172839,0.012345679012345678,0.0,0.06172839506172839,0.07407407407407407,0.0,0.0,0.13580246913580246,0.037037037037037035,0.06172839506172839,0.04938271604938271,0.012345679012345678,0.0,0.012345679012345678,0.0
1000525,男,after_70s,6.36316,96163,9,57,1,north,type_1,0.13098245614035087,0.24224561403508774,0.3931403508771932,0.14678947368421058,0.08684210526315791,1,18,0.40350877192982454,0.15789473684210525,0.40350877192982454,0.05263157894736842,0.07017543859649122,0.0,0.19298245614035087,0.05263157894736842,0.0,0.0,0.0,0.12280701754385964,0.10526315789473684,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.14035087719298245,0.05263157894736842,0.017543859649122806,0.0,0.10526315789473684,0.0,0.017543859649122806,0.2982456140350877,0.0,0.0,0.0,0.03508771929824561
1041404,男,after_70s,6.08736,58622,17,87,1,north,type_8,0.13925287356321836,0.22445977011494253,0.3226896551724136,0.16928735632183906,0.14434482758620693,1,25,0.41379310344827586,0.2413793103448276,0.19540229885057472,0.0,0.034482758620689655,0.011494252873563218,0.16091954022988506,0.04597701149425287,0.022988505747126436,0.0,0.011494252873563218,0.05747126436781609,0.08045977011494253,0.022988505747126436,0.011494252873563218,0.08045977011494253,0.011494252873563218,0.011494252873563218,0.0,0.0,0.05747126436781609,0.06896551724137931,0.011494252873563218,0.011494252873563218,0.16091954022988506,0.022988505747126436,0.04597701149425287,0.26436781609195403,0.0,0.0,0.0,0.034482758620689655
